FromCity,ToCity,Distance
"Mumbai, Maharashtra India IN","Mysore, Karnataka India IN",846.79
"Mumbai, Maharashtra India IN","Amritsar, Punjab India IN",1422.2
"Mumbai, Maharashtra India IN","Vishakhapatnam, Andhra Pradesh India IN",1114.35
"Mumbai, Maharashtra India IN","Madurai, Tamil Nadu India IN",1155.16
"Mumbai, Maharashtra India IN","Vijayawada, Andhra Pradesh India IN",869.01
"Mumbai, Maharashtra India IN","Bhubaneshwar, Orissa India IN",1369.26
"Mumbai, Maharashtra India IN","Jodhpur, Rajasthan India IN",813.25
"Mumbai, Maharashtra India IN","Raipur, Chhattisgarh India IN",953.11
"Mumbai, Maharashtra India IN","Chandigarh, Chandigarh India IN",1367.2
"Mumbai, Maharashtra India IN","Guwahati, Assam India IN",2097.11
"Mumbai, Maharashtra India IN","Dehra Dun, Uttarakhand India IN",1365.93
"Mumbai, Maharashtra India IN","Noida, Uttar Pradesh, India IN",1162.03
"Mumbai, Maharashtra India IN","Gurgoan, Handia, Uttar Pradesh, India",1202.58
"Mumbai, Maharashtra India IN","Faridabad, Haryana India IN",1146.42
"Mumbai, Maharashtra India IN","Ghaziabad, Uttar Pradesh India IN",1174.75
"Mumbai, Maharashtra India IN","Jamshedpur, Jharkhand India IN",1450.59
"Mumbai, Maharashtra India IN","Rajkot, Gujarat India IN",426.42
"Mumbai, Maharashtra India IN","Kota, Rajasthan India IN",756.57
"Mumbai, Maharashtra India IN","Warangal, Andhra Pradesh India IN",720.73
"Mumbai, Maharashtra India IN","Jalandhar, Punjab India IN",1400.76
"Mumbai, Maharashtra India IN","Salem, Tamil Nadu India IN",995.41
"Mumbai, Maharashtra India IN","Aligarh, Uttar Pradesh India IN",1126
"Mumbai, Maharashtra India IN","Moradabad, Uttar Pradesh India IN",1251.71
"Mumbai, Maharashtra India IN","Guntur, Andhra Pradesh India IN",860.75
"Bengaluru, Karnataka, India","New Delhi, Delhi India IN",1738.78
"Bengaluru, Karnataka, India","Mumbai, Maharashtra India IN",839.71
"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",0
"Bengaluru, Karnataka, India","Chennai, Tamil Nadu India IN",291.88
"Bengaluru, Karnataka, India","Kolkata, Bengal India IN",1561.88
"Bengaluru, Karnataka, India","Hyderabad, Andhra Pradesh India IN",499.41
"Bengaluru, Karnataka, India","Pune, Maharashtra India IN",735.88
"Bengaluru, Karnataka, India","Ahmadabad, Gujarat India IN",1236.24
"Bengaluru, Karnataka, India","Jaipur, Rajasthan India IN",1562.07
"Bengaluru, Karnataka, India","Lucknow, Uttar Pradesh India IN",1582.24
"Bengaluru, Karnataka, India","Kanpur, Uttar Pradesh India IN",1528.55
"Bengaluru, Karnataka, India","Nagpur, Maharashtra India IN",924.03
"Bengaluru, Karnataka, India","Surat, Gujarat India IN",1042.18
"Bengaluru, Karnataka, India","Bhopal, Madhya Pradesh India IN",1145.48
"Bengaluru, Karnataka, India","Indore, India IN",1100.02
"Bengaluru, Karnataka, India","Patna, Bihar India IN",1610.68
"Bengaluru, Karnataka, India","Ludhiana, Punjab India IN",2001.99
"Bengaluru, Karnataka, India","Thane, Maharashtra India IN",850.76
"Bengaluru, Karnataka, India","Agra, Uttar Pradesh India IN",1581.44
"Bengaluru, Karnataka, India","Varanasi, Uttar Pradesh, India",1487.24
"Bengaluru, Karnataka, India","Meerut, Uttar Pradesh India IN",1780.98
"Bengaluru, Karnataka, India","Vadodara, Gujarat India IN",1136.9
"Bengaluru, Karnataka, India","Allahabad, Uttar Pradesh India IN",1458.09
"Bengaluru, Karnataka, India","Ranchi, Jharkhand India IN",1414.33
"Bengaluru, Karnataka, India","Coimbatore, Tamil Nadu India IN",228.79
"Bengaluru, Karnataka, India","Kochi, Kerala, India",366.57
"Bengaluru, Karnataka, India","Mysore, Karnataka India IN",125.33
"Bengaluru, Karnataka, India","Amritsar, Punjab India IN",2094.11
"Bengaluru, Karnataka, India","Vishakhapatnam, Andhra Pradesh India IN",807.51
"Bengaluru, Karnataka, India","Madurai, Tamil Nadu India IN",342.12
"Bengaluru, Karnataka, India","Vijayawada, Andhra Pradesh India IN",511.81
"Bengaluru, Karnataka, India","Bhubaneshwar, Orissa India IN",1193.15
"Bengaluru, Karnataka, India","Jodhpur, Rajasthan India IN",1555.63
"Bengaluru, Karnataka, India","Raipur, Chhattisgarh India IN",1014.63
"Bengaluru, Karnataka, India","Chandigarh, Chandigarh India IN",1977.66
"Bengaluru, Karnataka, India","Guwahati, Assam India IN",2083.61
"Bengaluru, Karnataka, India","Dehra Dun, Uttarakhand India IN",1929.74
"Bengaluru, Karnataka, India","Noida, Uttar Pradesh, India IN",1736.63
"Bengaluru, Karnataka, India","Gurgoan, Handia, Uttar Pradesh, India",1473.22
"Bengaluru, Karnataka, India","Faridabad, Haryana India IN",1720.02
"Bengaluru, Karnataka, India","Ghaziabad, Uttar Pradesh India IN",1745.81
"Bengaluru, Karnataka, India","Jamshedpur, Jharkhand India IN",1421.34
"Bengaluru, Karnataka, India","Rajkot, Gujarat India IN",1263.05
"Bengaluru, Karnataka, India","Kota, Rajasthan India IN",1370.8
"Bengaluru, Karnataka, India","Warangal, Andhra Pradesh India IN",599.17
"Bengaluru, Karnataka, India","Jalandhar, Punjab India IN",2051.69
"Bengaluru, Karnataka, India","Salem, Tamil Nadu India IN",159.32
"Bengaluru, Karnataka, India","Aligarh, Uttar Pradesh India IN",1659.44
"Bengaluru, Karnataka, India","Moradabad, Uttar Pradesh India IN",1768.6
"Bengaluru, Karnataka, India","Guntur, Andhra Pradesh India IN",481.93
"Chennai, Tamil Nadu India IN","New Delhi, Delhi India IN",1753.95
"Chennai, Tamil Nadu India IN","Mumbai, Maharashtra India IN",1030.55
"Chennai, Tamil Nadu India IN","Bengaluru, Karnataka, India",291.88
"Chennai, Tamil Nadu India IN","Chennai, Tamil Nadu India IN",0
"Chennai, Tamil Nadu India IN","Kolkata, Bengal India IN",1357.47
"Chennai, Tamil Nadu India IN","Hyderabad, Andhra Pradesh India IN",514.49
"Chennai, Tamil Nadu India IN","Pune, Maharashtra India IN",914.69
"Chennai, Tamil Nadu India IN","Ahmadabad, Gujarat India IN",1369.89
"Chennai, Tamil Nadu India IN","Jaipur, Rajasthan India IN",1606.27
"Chennai, Tamil Nadu India IN","Lucknow, Uttar Pradesh India IN",1531.65
"Chennai, Tamil Nadu India IN","Kanpur, Uttar Pradesh India IN",1487.6
"Chennai, Tamil Nadu India IN","Nagpur, Maharashtra India IN",905.11
"Chennai, Tamil Nadu India IN","Surat, Gujarat India IN",1196.39
"Chennai, Tamil Nadu India IN","Bhopal, Madhya Pradesh India IN",1171.78
"Chennai, Tamil Nadu India IN","Indore, India IN",1169.21
"Chennai, Tamil Nadu India IN","Patna, Bihar India IN",1480.45
"Chennai, Tamil Nadu India IN","Ludhiana, Punjab India IN",2031.85
"Chennai, Tamil Nadu India IN","Thane, Maharashtra India IN",1034.86
"Chennai, Tamil Nadu India IN","Agra, Uttar Pradesh India IN",1584.83
"Chennai, Tamil Nadu India IN","Varanasi, Uttar Pradesh, India",1390.96
"Chennai, Tamil Nadu India IN","Meerut, Uttar Pradesh India IN",1787.37
"Chennai, Tamil Nadu India IN","Vadodara, Gujarat India IN",1268.76
"Chennai, Tamil Nadu India IN","Allahabad, Uttar Pradesh India IN",1384.35
"Chennai, Tamil Nadu India IN","Ranchi, Jharkhand India IN",1259.35
